Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Whitters ,https://www.trailjournals.com//journal/entry/539526,I've had a couple of friends who previously thru hiked who intrigued my interest in the trail. Living in D.C. and at a computer desk for the last 6 years has allowed for the intrigue to grow to an interest and passion. I'm looking forward to this journey and the new challenges it brings.,,PreHike,"Jan 30, Sat",0
Whitters ,https://www.trailjournals.com//journal/entry/539527,"I had planned to start hiking in April but with the passing of both my grandmothers in the past 3 months, I decided to delay.","PreHike
",View Entry,"Apr 01, Fri",0
Whitters ,https://www.trailjournals.com//journal/entry/539528,"Quitting, moving, and getting my paperwork together has been more daunting than anticipated. Last few days before I start.","
",View Entry,"May 30, Mon",0
