Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Fulltime,https://www.trailjournals.com//journal/entry/608157,,,Amicalola Falls State Park,"Mar 15, Fri",0
Fulltime,https://www.trailjournals.com//journal/entry/608070,,"Springer Mountain
",Amicalola Falls State Park,"Mar 16, Sat",0
Fulltime,https://www.trailjournals.com//journal/entry/608072,,,Georgia,"Mar 16, Sat",0
